timestamp,score,ear,gaze_dev,head_yaw,blink_rate,yawn_detected,profile,label,recommendation,source
2026-05-02 00:50:10,9.23,0.369,12.86,-0.52,23.86,0,moderate_focus,high,[OK] Concentración óptima,synthetic
2026-05-01 14:39:00,9.62,0.389,-5.71,5.52,16.55,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-03 20:38:30,3.44,0.257,51.56,-20.5,10.42,0,heavily_distracted,low,[CRITICO] ¡DESCANSA AHORA! Concentración muy baja (< 4.0),synthetic
2026-05-02 09:36:30,9.17,0.261,-0.85,-1.28,13.98,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-01 19:05:50,8.93,0.213,0.34,1.4,13.69,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-03 07:34:50,8.36,0.133,-8.21,-0.01,13.12,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-02 18:57:30,9.79,0.269,5.51,2.66,41.25,0,mildly_distracted,high,[OK] Concentración óptima,synthetic
2026-05-01 20:50:50,9.35,0.366,10.8,10.99,26.84,0,mildly_distracted,high,[OK] Concentración óptima,synthetic
2026-05-03 00:57:10,5.18,0.204,-23.29,21.25,8.14,0,fatigue,medium,[WARN] Descansa en 10 minutos (concentración 4.0-6.0),synthetic
2026-05-03 22:11:00,3.39,0.08,47.07,14.72,21.7,0,heavily_distracted,low,[CRITICO] ¡DESCANSA AHORA! Concentración muy baja (< 4.0),synthetic
2026-05-02 20:36:10,6.01,0.029,18.43,0.17,5.06,0,fatigue,medium,,synthetic
2026-05-03 20:39:30,3.46,0.323,-44.22,-28.5,19.14,0,heavily_distracted,low,[CRITICO] ¡DESCANSA AHORA! Concentración muy baja (< 4.0),synthetic
2026-05-01 20:47:40,9.75,0.334,-7.87,1.2,17.65,0,mildly_distracted,high,[OK] Concentración óptima,synthetic
2026-05-02 14:36:20,4.65,0.085,-8.4,-43.1,2.0,0,heavily_distracted,medium,[WARN] Descansa en 10 minutos (concentración 4.0-6.0),synthetic
2026-05-03 03:25:10,8.25,0.204,-12.56,5.23,13.13,0,fatigue,high,[OK] Concentración óptima,synthetic
2026-05-02 15:29:30,8.91,0.324,14.93,-5.53,26.07,0,moderate_focus,high,[OK] Concentración óptima,synthetic
2026-05-02 05:11:30,8.65,0.238,6.18,0.35,5.24,0,hyperfocus,high,[OK] Concentración óptima,synthetic
2026-05-01 15:15:40,8.28,0.187,-10.84,10.96,17.65,0,moderate_focus,high,[OK] Concentración óptima,synthetic
2026-05-04 00:24:20,6.1,0.24,30.86,4.61,24.46,0,mildly_distracted,medium,,synthetic
2026-05-03 21:34:30,0.03,0.2,-37.78,-42.11,21.61,1,heavily_distracted,low,[CRITICO] ¡DESCANSA AHORA! Concentración muy baja (< 4.0),synthetic
2026-05-03 16:18:10,6.16,0.062,15.28,11.37,0.01,0,fatigue,medium,,synthetic
2026-05-03 21:04:00,3.64,0.371,-76.6,-17.82,4.07,0,heavily_distracted,low,[CRITICO] ¡DESCANSA AHORA! Concentración muy baja (< 4.0),synthetic
2026-05-01 20:55:50,6.41,0.101,15.3,12.03,4.61,0,fatigue,medium,,synthetic
2026-05-03 18:14:20,5.32,0.106,2.68,6.79,0.0,1,fatigue,medium,[WARN] Descansa en 10 minutos (concentración 4.0-6.0),synthetic
2026-05-03 10:14:30,6.98,0.216,21.64,13.62,30.21,0,mildly_distracted,medium,,synthetic
2026-05-03 21:40:10,2.59,0.329,-26.89,-23.62,10.24,1,heavily_distracted,low,[CRITICO] ¡DESCANSA AHORA! Concentración muy baja (< 4.0),synthetic
2026-05-02 02:01:00,7.43,0.241,-2.41,34.13,35.64,0,mildly_distracted,high,[OK] Concentración óptima,synthetic
2026-05-01 12:12:30,5.69,0.105,22.87,0.92,2.0,0,mildly_distracted,medium,[WARN] Descansa en 10 minutos (concentración 4.0-6.0),synthetic
2026-05-03 01:23:00,9.02,0.324,-5.67,-1.69,2.67,0,hyperfocus,high,[OK] Concentración óptima,synthetic
2026-05-02 22:37:40,8.59,0.21,-2.89,17.59,23.52,0,moderate_focus,high,[OK] Concentración óptima,synthetic
2026-05-01 22:47:40,8.94,0.261,13.62,5.29,25.78,0,moderate_focus,high,[OK] Concentración óptima,synthetic
2026-05-03 15:50:20,8.79,0.193,-5.8,2.84,11.18,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-03 11:46:10,8.13,0.128,3.96,-6.16,7.89,0,fatigue,high,[OK] Concentración óptima,synthetic
2026-05-02 02:36:40,7.3,0.178,-10.3,-16.01,4.91,0,fatigue,high,[OK] Concentración óptima,synthetic
2026-05-03 09:02:10,7.06,0.338,26.95,0.04,25.04,0,mildly_distracted,high,[OK] Concentración óptima,synthetic
2026-05-02 06:01:50,7.39,0.211,15.66,18.48,43.23,0,mildly_distracted,high,[OK] Concentración óptima,synthetic
2026-05-03 20:28:50,3.51,0.313,-71.37,-26.05,16.4,0,heavily_distracted,low,[CRITICO] ¡DESCANSA AHORA! Concentración muy baja (< 4.0),synthetic
2026-05-02 12:56:10,8.48,0.423,-1.05,15.0,5.1,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-02 19:56:20,9.59,0.342,-9.82,-2.9,20.68,0,moderate_focus,high,[OK] Concentración óptima,synthetic
2026-05-01 13:32:40,7.19,0.237,21.18,-13.49,24.43,0,moderate_focus,high,[OK] Concentración óptima,synthetic
2026-05-03 13:36:00,6.93,0.241,23.11,6.7,15.28,0,mildly_distracted,medium,,synthetic
2026-05-04 00:19:30,4.26,0.258,32.36,30.4,34.03,0,mildly_distracted,medium,[WARN] Descansa en 10 minutos (concentración 4.0-6.0),synthetic
2026-05-02 06:20:40,2.82,0.135,40.31,-15.15,2.0,0,heavily_distracted,low,[CRITICO] ¡DESCANSA AHORA! Concentración muy baja (< 4.0),synthetic
2026-05-04 00:29:00,5.49,0.34,34.08,14.54,23.27,0,mildly_distracted,medium,[WARN] Descansa en 10 minutos (concentración 4.0-6.0),synthetic
2026-05-01 13:25:50,9.0,0.391,-4.45,-2.88,5.6,0,moderate_focus,high,[OK] Concentración óptima,synthetic
2026-05-03 22:40:30,4.7,0.19,26.65,27.59,20.14,0,mildly_distracted,medium,[WARN] Descansa en 10 minutos (concentración 4.0-6.0),synthetic
2026-05-03 11:13:30,8.14,0.155,2.3,-4.17,4.0,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-02 03:33:00,5.61,0.375,-24.6,-18.97,2.0,0,heavily_distracted,medium,[WARN] Descansa en 10 minutos (concentración 4.0-6.0),synthetic
2026-05-01 11:02:30,6.12,0.222,-30.0,3.27,30.18,0,moderate_focus,medium,,synthetic
2026-05-02 00:07:40,9.12,0.296,0.13,-9.45,9.98,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-02 15:10:40,7.69,0.01,-5.77,-6.07,8.45,0,fatigue,high,[OK] Concentración óptima,synthetic
2026-05-02 09:36:00,8.53,0.188,-8.27,-1.21,8.35,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-03 21:26:10,3.48,0.097,37.57,-3.01,6.31,0,heavily_distracted,low,[CRITICO] ¡DESCANSA AHORA! Concentración muy baja (< 4.0),synthetic
2026-05-02 13:11:00,8.44,0.14,-1.47,-4.14,11.37,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-03 23:47:30,6.74,0.37,28.25,10.94,32.75,0,mildly_distracted,medium,,synthetic
2026-05-03 05:28:40,7.31,0.086,11.99,0.88,7.37,0,fatigue,high,[OK] Concentración óptima,synthetic
2026-05-03 03:26:20,8.43,0.187,-9.18,-2.75,8.34,0,fatigue,high,[OK] Concentración óptima,synthetic
2026-05-01 19:04:50,9.6,0.262,5.76,-7.96,21.29,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-04 00:21:30,6.96,0.441,26.01,4.15,18.14,0,mildly_distracted,medium,,synthetic
2026-05-02 21:15:30,8.94,0.218,1.64,3.41,14.1,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-01 19:42:20,9.05,0.239,2.76,6.18,13.09,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-01 17:52:30,6.14,0.264,25.73,-15.19,16.99,0,moderate_focus,medium,,synthetic
2026-05-03 22:55:20,4.02,0.292,36.71,20.17,13.13,0,mildly_distracted,medium,[WARN] Descansa en 10 minutos (concentración 4.0-6.0),synthetic
2026-05-02 18:41:20,8.84,0.261,-0.99,2.05,6.6,0,hyperfocus,high,[OK] Concentración óptima,synthetic
2026-05-02 00:29:30,7.61,0.086,7.34,9.13,0.0,0,fatigue,high,[OK] Concentración óptima,synthetic
2026-05-03 15:38:50,8.3,0.235,-2.09,14.51,10.58,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-01 10:13:50,8.65,0.179,3.54,4.3,12.02,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-01 10:38:50,5.85,0.107,23.55,-2.0,10.43,0,fatigue,medium,[WARN] Descansa en 10 minutos (concentración 4.0-6.0),synthetic
2026-05-03 16:41:50,7.11,0.075,-11.71,-4.08,4.88,0,fatigue,high,[OK] Concentración óptima,synthetic
2026-05-02 23:34:30,9.82,0.368,7.43,-2.65,21.85,0,deep_focus,high,[OK] Concentración óptima,synthetic
2026-05-03 13:51:30,5.68,0.128,28.94,3.29,21.63,0,mildly_distracted,medium,[WARN] Descansa en 10 minutos (concentración 4.0-6.0),synthetic
